scenario,intensity,model,strategy,MAE,RMSE,updates,avg_update_ms,reaction_delay_batches
recurring,medium,rf,static,0.5213181400100099,0.5668703873598518,0,0.0,
recurring,medium,rf,periodic_k5,0.3911515196217254,0.44473163340457744,4,178.67070000284002,4.0
recurring,medium,rf,drift_error_plastic,0.4199490554825878,0.4529563230915164,7,153.75379999750294,4.0
recurring,medium,rf,drift_error_stable,0.42879508184492193,0.47848388986523677,1,160.80080000392627,15.0
recurring,medium,hgb,static,0.5306830232263242,0.5777187540657984,0,0.0,
recurring,medium,hgb,periodic_k5,0.3831833372621313,0.43753333814964246,4,275.3777750003792,2.0
recurring,medium,hgb,drift_error_plastic,0.4737745757505907,0.5093854967815253,7,126.9814428565691,4.0
recurring,medium,hgb,drift_error_stable,0.5004128314177804,0.5492376576704359,1,68.994000001112,16.0
recurring,strong,sgd,static,0.3958771501806046,0.4449177605002154,0,0.0,
recurring,strong,sgd,periodic_k5,0.3799641445822489,0.42496726781084426,5,1.2379200023133308,0.0
recurring,strong,sgd,drift_error_plastic,144270318.08811247,144286855.95330563,5,0.3894800029229373,4.0
recurring,strong,sgd,drift_error_stable,0.36532224669170255,0.41627561318465545,1,0.42150000808760524,16.0
recurring,strong,ridge,static,0.382514086144244,0.43223118117122133,0,0.0,
recurring,strong,ridge,periodic_k5,0.28187776607429044,0.328543816420915,4,2.37629999537603,3.0
recurring,strong,ridge,drift_error_plastic,0.2706937297485639,0.3093351885092982,7,0.8710857135676113,5.0
recurring,strong,ridge,drift_error_stable,0.44989027004393817,0.4837812137379563,2,0.9281000020564534,6.0
recurring,strong,rf,static,0.5245698392221061,0.5722069960043826,0,0.0,
recurring,strong,rf,periodic_k5,0.3625104868226051,0.42265652730073294,5,213.5608200042043,1.0
recurring,strong,rf,drift_error_plastic,0.42760732387245654,0.46440797091779035,7,158.39627142746136,4.0
recurring,strong,rf,drift_error_stable,0.46555543301774355,0.518572050579731,1,164.83840000000782,16.0
recurring,strong,hgb,static,0.5339577426718078,0.583692226509393,0,0.0,
recurring,strong,hgb,periodic_k5,0.4002298138233779,0.45537331663525615,4,111.59520000364864,4.0
recurring,strong,hgb,drift_error_plastic,0.4738435353463931,0.51142822557565,7,55.38381428466112,4.0
recurring,strong,hgb,drift_error_stable,0.5007555323575196,0.5523895257117261,1,82.74830000300426,16.0
